Player,Club,Age,Position,Minutes,Goals,xG,xGDiff,Assists,xA,xADiff,Dribbles,DribblesCompleted,PlayersDribbledPast,Nutmegs,Interceptions,TacklesWon,DribbledPast
Hirving Lozano,Napoli,24,FW,394,1,0.3,0.7,0,0.2,-0.2,12,6,6,0,4,3,5
Jason Denayer,Lyon,24,DF,450,0,0.1,-0.1,0,0.1,-0.1,6,6,6,1,3,4,2
João Félix,Atletico Madrid,19,MF,291,2,2.2,-0.2,0,1,-1,10,6,6,0,1,1,3
Joseph Paintsil,Genk,21,MF,156,0,0.5,-0.5,0,0.8,-0.8,7,6,6,0,2,1,1
Kévin Théophile-Catherine,Dinamo Zagreb,29,DF,436,0,0,0,2,0.6,1.4,6,6,6,1,10,7,4
Kieran Trippier,Atletico Madrid,28,DF,360,0,0.8,-0.8,1,0.6,0.4,9,6,6,0,6,6,3
Leon Bailey,Bayer Leverkusen,21,FW,114,0,0,0,0,0.3,-0.3,12,6,6,0,0,1,2
Mario Pašalić,Atalanta,24,MF,450,2,2.3,-0.3,0,0.3,-0.3,11,6,6,0,2,4,7
N'Golo Kanté,Chelsea,28,MF,270,0,0.3,-0.3,0,0.9,-0.9,6,6,6,1,5,7,7
Nicolò Barella,Inter,22,MF,289,1,0.3,0.7,0,0.1,-0.1,9,6,6,0,8,6,9
Presnel Kimpembe,Paris Saint-Germain,23,DF,450,0,0,0,0,0,0,6,6,6,0,7,3,3
Rajiv van La Parra,FK Crvena Zvezda,28,"FW,MF",355,0,0.3,-0.3,0,0.1,-0.1,12,6,6,0,1,1,9
Rifat Zhemaletdinov,Lokomotiv Moscow,22,FW,359,0,0.5,-0.5,0,0.8,-0.8,11,6,6,0,2,5,10
Andrew Robertson,Liverpool,25,DF,439,1,0.6,0.4,0,0.2,-0.2,10,5,6,0,3,6,8
Francis Coquelin,Valencia,28,"DF,MF",356,0,0,0,0,0,0,9,5,6,0,10,7,5
Giorgos Masouras,Olympiacos,25,MF,426,0,0.8,-0.8,1,0.4,0.6,15,5,6,2,6,8,11
Juan Foyth,Tottenham,21,DF,197,0,0,0,0,0,0,7,5,6,0,2,3,2
Manor Solomon,Shakhtar Donetsk,20,FW,134,2,0.8,1.2,0,0,0,8,5,6,0,1,2,3
Marcel Sabitzer,RasenBallsport Leipzig,25,"FW,MF",450,2,0.8,1.2,2,1.3,0.7,11,5,6,0,1,3,12
Mario Lemina,Galatasaray,25,"DF,MF",330,0,0.3,-0.3,0,0,0,7,5,6,0,4,9,6
Nicolae Stanciu,Slavia Prague,26,MF,461,0,1.1,-1.1,0,1.3,-1.3,12,5,6,1,1,4,11
Paulo Dybala,Juventus,25,"FW,MF",206,3,1.2,1.8,3,1.2,1.8,11,5,6,1,1,1,2
Renato Sanches,Lille,21,MF,121,0,0,0,0,0.1,-0.1,9,5,6,0,3,2,5
Romelu Lukaku,Inter,26,FW,405,2,2.4,-0.4,2,0.9,1.1,9,5,6,1,1,2,2
Serge Aurier,Tottenham,26,DF,270,1,0.1,0.9,2,1.5,0.5,15,5,6,1,1,4,2
Sergio Agüero,Manchester City,31,FW,196,2,2.7,-0.7,0,0,0,9,5,6,0,0,0,1
Stefano Sensi,Inter,23,MF,191,0,0.3,-0.3,1,1,0,6,5,6,0,2,1,6
Tammy Abraham,Chelsea,21,FW,458,2,3.9,-1.9,1,0.5,0.5,10,5,6,0,1,3,4
Zeki Çelik,Lille,22,DF,540,0,0.3,-0.3,0,0.8,-0.8,11,5,6,0,12,8,6
Andreas Ulmer,Salzburg,33,DF,540,1,0.4,0.6,0,0.4,-0.4,7,5,5,0,6,10,6
Axel Witsel,Borussia Dortmund,30,MF,450,0,0.2,-0.2,0,0.1,-0.1,8,5,5,0,6,8,6
Christopher Nkunku,RasenBallsport Leipzig,21,MF,252,0,0.6,-0.6,0,0.8,-0.8,8,5,5,1,0,7,2
Danny Rose,Tottenham,29,"DF,MF",360,0,0,0,1,0.7,0.3,8,5,5,2,6,7,4
Ferland Mendy,Real Madrid,24,DF,228,0,0,0,0,0,0,9,5,5,0,2,4,4
Isco,Real Madrid,27,MF,188,0,1,-1,0,0.1,-0.1,7,5,5,0,3,3,3
Jan Bořil,Slavia Prague,28,DF,540,1,0.4,0.6,0,0.4,-0.4,9,5,5,0,7,2,13
José Luis Gayà,Valencia,24,"DF,MF",360,0,0.1,-0.1,0,1.1,-1.1,9,5,5,1,3,6,7
Joshua Kimmich,Bayern Munich,24,MF,472,1,0.2,0.8,0,0.8,-0.8,6,5,5,0,6,6,10
Luis Suárez,Barcelona,32,FW,388,3,2.5,0.5,2,1.1,0.9,8,5,5,0,2,3,4
Mbwana Samatta,Genk,26,FW,513,3,1.9,1.1,0,0,0,8,5,5,0,0,3,0
Reinildo Mandava,Lille,25,DF,180,0,0,0,0,0,0,5,5,5,1,3,8,4
Richmond Boakye,FK Crvena Zvezda,26,FW,186,1,0.4,0.6,0,0.1,-0.1,5,5,5,0,0,0,1
Ruslan Malinovskyi,Atalanta,26,MF,203,1,0.9,0.1,1,1.2,-0.2,8,5,5,0,2,3,10
Thomas Lemar,Atletico Madrid,23,MF,182,0,0.2,-0.2,0,0.5,-0.5,8,5,5,0,0,2,1
Thorgan Hazard,Borussia Dortmund,26,MF,344,0,0.7,-0.7,0,1.6,-1.6,11,5,5,0,1,6,5
Wendell,Bayer Leverkusen,26,DF,351,0,0.1,-0.1,0,0.1,-0.1,5,5,5,0,4,17,6
Yevhen Konoplyanka,Shakhtar Donetsk,29,"FW,MF",180,1,0.3,0.7,0,0,0,8,5,5,0,0,2,2
Yuto Nagatomo,Galatasaray,32,DF,525,0,0,0,0,0.1,-0.1,8,5,5,0,8,3,7
Bernardo Silva,Manchester City,24,"FW,MF",339,0,0.2,-0.2,1,0.5,0.5,11,4,7,0,2,1,7
Casper de Norre,Genk,22,MF,257,0,0.1,-0.1,0,0.6,-0.6,6,4,5,0,3,2,8
Kevin Volland,Bayer Leverkusen,27,FW,458,1,1,0,0,0.3,-0.3,9,4,5,1,1,3,3
Luis Muriel,Atalanta,28,FW,199,1,1.5,-0.5,0,0.6,-0.6,10,4,5,0,0,4,4
Marcos Alonso,Chelsea,28,DF,315,0,0.6,-0.6,0,0.3,-0.3,8,4,5,1,2,6,2
Mitchell Weiser,Bayer Leverkusen,25,"DF,MF",270,0,0.1,-0.1,0,0.4,-0.4,7,4,5,0,6,6,2
Patson Daka,Salzburg,20,FW,241,1,1.7,-0.7,0,0.4,-0.4,9,4,5,0,1,4,1
Raphaël Guerreiro,Borussia Dortmund,25,"DF,MF",368,0,0.1,-0.1,0,0.1,-0.1,9,4,5,1,7,1,2
Reece James,Chelsea,19,,202,1,0.1,0.9,0,0.5,-0.5,7,4,5,0,2,4,2
Valentino Lazaro,Inter,23,MF,100,0,0,0,1,0,1,5,4,5,0,1,1,3
Alex Sandro,Juventus,28,DF,360,0,0.2,-0.2,2,0.7,1.3,6,4,4,0,6,6,6
Amadou Haidara,RasenBallsport Leipzig,21,MF,213,0,0.1,-0.1,0,0.3,-0.3,7,4,4,0,4,8,7
Ander Herrera,Paris Saint-Germain,29,MF,99,0,0,0,0,0,0,6,4,4,0,3,2,1
Brandon Mechele,Club Brugge,26,DF,450,0,0.2,-0.2,0,0,0,5,4,4,0,8,3,6
Casemiro,Real Madrid,27,MF,510,1,0.3,0.7,1,0.4,0.6,4,4,4,0,6,15,15
Charles De Ketelaere,Club Brugge,18,MF,126,0,0.1,-0.1,0,0.1,-0.1,5,4,4,0,1,1,3
Corentin Tolisso,Bayern Munich,24,"DF,MF",298,2,1.2,0.8,4,0.6,3.4,8,4,4,0,2,5,1
