DerbyFlag,HomeTeam,AwayTeam,Result,Date,Scoreline,Outcome
0,Cardiff,Man United,lost,22/12/2018,1-5,-1
0,Chelsea,Leicester,lost,22/12/2018,0-1,-1
0,Huddersfield,Southampton,lost,22/12/2018,1-3,-1
0,Man City,Crystal Palace,lost,22/12/2018,2-3,-1
0,Newcastle,Fulham,drew,22/12/2018,0-0,0
0,West Ham,Watford,lost,22/12/2018,0-2,-1
0,Everton,Tottenham,lost,23/12/2018,2-6,-1
0,Brighton,Arsenal,drew,26/12/2018,1-1,0
0,Burnley,Everton,lost,26/12/2018,1-5,-1
0,Crystal Palace,Cardiff,drew,26/12/2018,0-0,0
0,Fulham,Wolves,drew,26/12/2018,1-1,0
0,Leicester,Man City,won,26/12/2018,2-1,1
0,Liverpool,Newcastle,won,26/12/2018,4-0,1
0,Man United,Huddersfield,won,26/12/2018,3-1,1
0,Tottenham,Bournemouth,won,26/12/2018,5-0,1
0,Watford,Chelsea,lost,26/12/2018,1-2,-1
0,Southampton,West Ham,lost,27/12/2018,1-2,-1
0,Brighton,Everton,won,29/12/2018,1-0,1
0,Fulham,Huddersfield,won,29/12/2018,1-0,1
0,Leicester,Cardiff,lost,29/12/2018,0-1,-1
0,Liverpool,Arsenal,won,29/12/2018,5-1,1
0,Tottenham,Wolves,lost,29/12/2018,1-3,-1
0,Watford,Newcastle,drew,29/12/2018,1-1,0
0,Burnley,West Ham,won,30/12/2018,2-0,1
0,Crystal Palace,Chelsea,lost,30/12/2018,0-1,-1
0,Man United,Bournemouth,won,30/12/2018,4-1,1
0,Southampton,Man City,lost,30/12/2018,1-3,-1
0,Arsenal,Fulham,won,01/01/2019,4-1,1
0,Cardiff,Tottenham,lost,01/01/2019,0-3,-1
0,Everton,Leicester,lost,01/01/2019,0-1,-1
0,Bournemouth,Watford,drew,02/01/2019,3-3,0
0,Chelsea,Southampton,drew,02/01/2019,0-0,0
0,Huddersfield,Burnley,lost,02/01/2019,1-2,-1
0,Newcastle,Man United,lost,02/01/2019,0-2,-1
0,West Ham,Brighton,drew,02/01/2019,2-2,0
0,Wolves,Crystal Palace,lost,02/01/2019,0-2,-1
0,Man City,Liverpool,won,03/01/2019,2-1,1
0,Brighton,Liverpool,lost,12/01/2019,0-1,-1
0,Burnley,Fulham,won,12/01/2019,2-1,1
0,Cardiff,Huddersfield,drew,12/01/2019,0-0,0
