YearDrafted,Player,OverallRank,VORP,Team,OverallReDraft,RankDeficit,RankDeficitWeighted
2011,Chandler Parsons,38,12.0,HOU,7,31.0,0.8157894736842105
2011,Trey Thompkins,37,-0.2,LAC,38,-1.0,-0.02702702702702703
2011,Jordan Williams,36,-0.2,NJN,38,-2.0,-0.05555555555555555
2011,Tyler Honeycutt,35,-0.1,SAC,37,-2.0,-0.05714285714285714
2011,Shelvin Mack,34,-1.5,WAS,51,-17.0,-0.5
2011,Kyle Singler,33,0.7,DET,26,7.0,0.21212121212121213
2011,Justin Harper,32,-0.2,CLE,38,-6.0,-0.1875
2011,Bojan Bogdanović,31,1.0,MIA,23,8.0,0.25806451612903225
2011,Jimmy Butler,30,26.0,CHI,2,28.0,0.9333333333333333
2011,Cory Joseph,29,3.9,SAS,18,11.0,0.3793103448275862
2011,Norris Cole,28,-4.0,CHI,54,-26.0,-0.9285714285714286
2011,JaJuan Johnson,27,-0.3,NJN,42,-15.0,-0.5555555555555556
2011,Jordan Hamilton,26,0.3,DAL,28,-2.0,-0.07692307692307693
2011,MarShon Brooks,25,-0.4,BOS,43,-18.0,-0.72
2011,Reggie Jackson,24,6.6,OKC,11,13.0,0.5416666666666666
2011,Nikola Mirotić,23,5.3,HOU,14,9.0,0.391304347826087
2011,Kenneth Faried,22,9.3,DEN,9,13.0,0.5909090909090909
2011,Nolan Smith,21,-0.9,POR,47,-26.0,-1.2380952380952381
2011,Donatas Motiejūnas,20,0.0,MIN,31,-11.0,-0.55
2011,Tobias Harris,19,9.0,CHA,10,9.0,0.47368421052631576
2011,Chris Singleton,18,-0.2,WAS,38,-20.0,-1.1111111111111112
2011,Iman Shumpert,17,4.2,NYK,17,0.0,0.0
2011,Nikola Vučević,16,15.2,PHI,5,11.0,0.6875
2011,Kawhi Leonard,15,29.4,IND,1,14.0,0.9333333333333333
2011,Marcus Morris,14,4.9,HOU,15,-1.0,-0.07142857142857142
2011,Markieff Morris,13,4.5,PHO,16,-3.0,-0.23076923076923078
2011,Alec Burks,12,-0.5,UTA,44,-32.0,-2.6666666666666665
2011,Klay Thompson,11,11.3,GSW,8,3.0,0.2727272727272727
2011,Jimmer Fredette,10,-1.8,MIL,52,-42.0,-4.2
2011,Kemba Walker,9,23.2,CHA,4,5.0,0.5555555555555556
2011,Brandon Knight,8,1.7,DET,21,-13.0,-1.625
2011,Bismack Biyombo,7,0.1,SAC,30,-23.0,-3.2857142857142856
2011,Jan Veselý,6,0.9,WAS,24,-18.0,-3.0
2011,Jonas Valančiūnas,5,6.1,TOR,12,-7.0,-1.4
2011,Tristan Thompson,4,5.5,CLE,13,-9.0,-2.25
2011,Enes Kanter,3,2.1,UTA,20,-17.0,-5.666666666666667
2011,Derrick Williams,2,-2.6,MIN,53,-51.0,-25.5
2011,Kyrie Irving,1,24.9,CLE,3,-2.0,-2.0
2012,Robert Sacre,60,-0.8,LAL,43,17.0,0.2833333333333333
2012,Marcus Denmon,59,-5.0,SAS,57,2.0,0.03389830508474576
2012,Robbie Hummel,58,-0.3,MIN,38,20.0,0.3448275862068966
2012,İlkan Karaman,57,-5.0,NJN,57,0.0,0.0
2012,Tomislav Zubčić,56,-5.0,TOR,57,-1.0,-0.017857142857142856
2012,Darius Johnson-Odom,55,-0.1,DAL,32,23.0,0.41818181818181815
2012,Tornike Shengelia,54,-0.3,PHI,38,16.0,0.2962962962962963
2012,Furkan Aldemir,53,0.2,LAC,26,27.0,0.5094339622641509
2012,Ognjen Kuzmić,52,0.0,GSW,29,23.0,0.4423076923076923
2012,Kris Joseph,51,-0.1,BOS,32,19.0,0.37254901960784315
2012,İzzet Türkyılmaz,50,-5.0,DEN,57,-7.0,-0.14
2012,Kyle O'Quinn,49,6.2,ORL,8,41.0,0.8367346938775511
2012,Kostas Papanikolaou,48,-0.2,NYK,34,14.0,0.2916666666666667
2012,Kevin Murphy,47,-0.2,UTA,34,13.0,0.2765957446808511
2012,Darius Miller,46,0.4,NOH,25,21.0,0.45652173913043476
2012,Justin Hamilton,45,0.8,PHI,21,24.0,0.5333333333333333
2012,Kim English,44,-0.2,DET,34,10.0,0.22727272727272727
2012,Mike Scott,43,-0.8,ATL,43,0.0,0.0
2012,Doron Lamb,42,-1.2,MIL,48,-6.0,-0.14285714285714285
2012,Tyshawn Taylor,41,-0.8,POR,43,-2.0,-0.04878048780487805
2012,Will Barton,40,3.4,POR,13,27.0,0.675
2012,Khris Middleton,39,8.0,DET,7,32.0,0.8205128205128205
2012,Quincy Miller,38,-0.5,DEN,40,-2.0,-0.05263157894736842
2012,Quincy Acy,37,0.2,TOR,26,11.0,0.2972972972972973
2012,Orlando Johnson,36,-0.5,SAC,40,-4.0,-0.1111111111111111
2012,Draymond Green,35,21.5,GSW,3,32.0,0.9142857142857143
2012,Jae Crowder,34,8.8,CLE,6,28.0,0.8235294117647058
2012,Bernard James,33,0.2,CLE,26,7.0,0.21212121212121213
2012,Tomáš Satoranský,32,1.9,WAS,19,13.0,0.40625
2012,Jeffery Taylor,31,-1.2,CHA,48,-17.0,-0.5483870967741935
2012,Festus Ezeli,30,0.6,GSW,23,7.0,0.23333333333333334
2012,Marquis Teague,29,-1.4,CHI,51,-22.0,-0.7586206896551724
2012,Perry Jones,28,-1.1,OKC,47,-19.0,-0.6785714285714286
2012,Arnett Moultrie,27,-0.2,MIA,34,-7.0,-0.25925925925925924
2012,Miles Plumlee,26,0.5,IND,24,2.0,0.07692307692307693
2012,Tony Wroten,25,-1.6,MEM,52,-27.0,-1.08
2012,Jared Cunningham,24,-0.6,CLE,42,-18.0,-0.75
2012,John Jenkins,23,-1.0,ATL,46,-23.0,-1.0
2012,Fab Melo,22,0.0,BOS,29,-7.0,-0.3181818181818182
2012,Jared Sullinger,21,4.1,BOS,11,10.0,0.47619047619047616
2012,Evan Fournier,20,3.1,DEN,15,5.0,0.25
2012,Andrew Nicholson,19,-3.4,ORL,56,-37.0,-1.9473684210526316
2012,Terrence Jones,18,3.0,HOU,16,2.0,0.1111111111111111
2012,Tyler Zeller,17,0.8,DAL,21,-4.0,-0.23529411764705882
2012,Royce White,16,0.0,HOU,29,-13.0,-0.8125
2012,Maurice Harkless,15,6.2,PHI,8,7.0,0.4666666666666667
2012,John Henson,14,5.1,MIL,10,4.0,0.2857142857142857
2012,Kendall Marshall,13,-2.8,PHO,55,-42.0,-3.230769230769231
2012,Jeremy Lamb,12,3.4,HOU,13,-1.0,-0.08333333333333333
2012,Meyers Leonard,11,0.9,POR,20,-9.0,-0.8181818181818182
2012,Austin Rivers,10,-2.3,NOH,54,-44.0,-4.4
2012,Andre Drummond,9,15.9,DET,4,5.0,0.5555555555555556
2012,Terrence Ross,8,3.5,TOR,12,-4.0,-0.5
2012,Harrison Barnes,7,2.6,GSW,17,-10.0,-1.4285714285714286
2012,Damian Lillard,6,29.9,POR,1,5.0,0.8333333333333334
2012,Thomas Robinson,5,-1.3,SAC,50,-45.0,-9.0
2012,Dion Waiters,4,-1.6,CLE,52,-48.0,-12.0
2012,Bradley Beal,3,12.6,WAS,5,-2.0,-0.6666666666666666
2012,Michael Kidd-Gilchrist,2,2.4,CHA,18,-16.0,-8.0
2012,Anthony Davis,1,27.6,NOH,2,-1.0,-1.0
2013,Jānis Timma,60,-5.0,MEM,52,8.0,0.13333333333333333
2013,Bojan Dubljević,59,-5.0,MIN,52,7.0,0.11864406779661017
2013,Deshaun Thomas,58,-5.0,SAS,52,6.0,0.10344827586206896
2013,Alex Oriakhi,57,-5.0,PHO,52,5.0,0.08771929824561403
2013,Peyton Siva,56,-0.3,DET,35,21.0,0.375
2013,Joffrey Lauvergne,55,-0.4,MEM,39,16.0,0.2909090909090909
2013,Arsalan Kazemi,54,-5.0,WAS,52,2.0,0.037037037037037035
2013,Colton Iverson,53,-5.0,IND,52,1.0,0.018867924528301886
2013,Lorenzo Brown,52,-0.6,MIN,43,9.0,0.17307692307692307
2013,Romero Osby,51,-5.0,ORL,52,-1.0,-0.0196078431372549
2013,James Ennis,50,2.0,ATL,18,32.0,0.64
2013,Erik Murphy,49,-0.1,CHI,28,21.0,0.42857142857142855
2013,Ryan Kelly,48,-0.2,LAL,33,15.0,0.3125
2013,Raul Neto,47,-0.1,ATL,28,19.0,0.40425531914893614
2013,Erick Green,46,-0.3,UTA,35,11.0,0.2391304347826087
2013,Marko Todorović,45,-5.0,POR,52,-7.0,-0.15555555555555556
2013,Mike Muscala,44,2.5,DAL,16,28.0,0.6363636363636364
2013,Ricky Ledo,43,-0.4,MIL,39,4.0,0.09302325581395349
2013,Pierre Jackson,42,-0.1,PHI,28,14.0,0.3333333333333333
2013,Jamaal Franklin,41,-0.1,MEM,28,13.0,0.3170731707317073
2013,Grant Jerrett,40,-0.1,POR,28,12.0,0.3
2013,Jeff Withey,39,1.4,POR,21,18.0,0.46153846153846156
2013,Nate Wolters,38,-0.8,WAS,46,-8.0,-0.21052631578947367
2013,Tony Mitchell,37,0.1,DET,25,12.0,0.32432432432432434
2013,Ray McCallum,36,-0.6,SAC,43,-7.0,-0.19444444444444445
2013,Glen Rice,35,-0.2,PHI,33,2.0,0.05714285714285714
2013,Isaiah Canaan,34,-1.3,HOU,47,-13.0,-0.38235294117647056
2013,Carrick Felix,33,0.0,CLE,26,7.0,0.21212121212121213
2013,Álex Abrines,32,-0.4,OKC,39,-7.0,-0.21875
2013,Allen Crabbe,31,2.0,CLE,18,13.0,0.41935483870967744
2013,Nemanja Nedović,30,-0.3,PHO,35,-5.0,-0.16666666666666666
2013,Archie Goodwin,29,-1.3,OKC,47,-18.0,-0.6206896551724138
2013,Livio Jean-Charles,28,-5.0,SAS,52,-24.0,-0.8571428571428571
2013,Rudy Gobert,27,21.0,DEN,2,25.0,0.9259259259259259
2013,Andre Roberson,26,4.4,MIN,13,13.0,0.5
2013,Reggie Bullock,25,1.7,LAC,20,5.0,0.2
2013,Tim Hardaway,24,0.6,NYK,23,1.0,0.041666666666666664
2013,Solomon Hill,23,2.3,IND,17,6.0,0.2608695652173913
2013,Mason Plumlee,22,11.6,BRK,4,18.0,0.8181818181818182
2013,Gorgui Dieng,21,9.2,UTA,7,14.0,0.6666666666666666
2013,Tony Snell,20,0.3,CHI,24,-4.0,-0.2
2013,Sergey Karasev,19,-0.3,CLE,35,-16.0,-0.8421052631578947
2013,Shane Larkin,18,-0.6,ATL,43,-25.0,-1.3888888888888888
2013,Dennis Schröder,17,0.0,ATL,26,-9.0,-0.5294117647058824
2013,Lucas Nogueira,16,3.0,BOS,14,2.0,0.125
2013,Giannis Antetokounmpo,15,24.8,MIL,1,14.0,0.9333333333333333
2013,Shabazz Muhammad,14,-2.5,UTA,51,-37.0,-2.642857142857143
2013,Kelly Olynyk,13,8.1,DAL,8,5.0,0.38461538461538464
2013,Steven Adams,12,11.8,OKC,3,9.0,0.75
2013,Michael Carter-Williams,11,2.7,PHI,15,-4.0,-0.36363636363636365
2013,CJ McCollum,10,7.0,POR,10,0.0,0.0
2013,Trey Burke,9,-0.4,MIN,39,-30.0,-3.3333333333333335
2013,Kentavious Caldwell-Pope,8,7.2,DET,9,-1.0,-0.125
2013,Ben McLemore,7,-1.7,SAC,49,-42.0,-6.0
2013,Nerlens Noel,6,6.3,NOH,11,-5.0,-0.8333333333333334
2013,Alex Len,5,0.8,PHO,22,-17.0,-3.4
2013,Cody Zeller,4,5.9,CHA,12,-8.0,-2.0
2013,Otto Porter,3,10.7,WAS,5,-2.0,-0.6666666666666666
2013,Victor Oladipo,2,10.4,ORL,6,-4.0,-2.0
2013,Anthony Bennett,1,-1.7,CLE,49,-48.0,-48.0
2014,Cory Jefferson,60,-0.4,SAS,35,25.0,0.4166666666666667
2014,Xavier Thames,59,-5.0,TOR,54,5.0,0.0847457627118644
2014,Jordan McRae,58,-0.7,SAS,41,17.0,0.29310344827586204
2014,Louis Labeyrie,57,-5.0,IND,54,3.0,0.05263157894736842
2014,Devyn Marble,56,-0.3,DEN,32,24.0,0.42857142857142855
2014,Semaj Christon,55,-1.1,MIA,46,9.0,0.16363636363636364
2014,Nemanja Dangubić,54,-5.0,PHI,54,0.0,0.0
2014,Alessandro Gentile,53,-5.0,MIN,54,-1.0,-0.018867924528301886
2014,Vasilije Micić,52,-5.0,PHI,54,-2.0,-0.038461538461538464
2014,Thanasis Antetokounmpo,51,0.0,NYK,26,25.0,0.49019607843137253
2014,Alec Brown,50,-5.0,PHO,54,-4.0,-0.08
2014,Cameron Bairstow,49,-0.2,CHI,29,20.0,0.40816326530612246
2014,Lamar Patterson,48,-0.4,MIL,35,13.0,0.2708333333333333
2014,Russ Smith,47,-0.1,PHI,28,19.0,0.40425531914893614
2014,Jordan Clarkson,46,0.6,WAS,21,25.0,0.5434782608695652
2014,Dwight Powell,45,6.1,CHH,5,40.0,0.8888888888888888
2014,Markel Brown,44,-0.4,MIN,35,9.0,0.20454545454545456
